Event,Start Date, End Date
COVID-19 Crash of 2020,19/02/2020,08/06/2020
Subprime Mortgage Crisis of 2007-08,30/10/2007,10/03/2009
Dot-Com Bubble Burst of 2000,05/09/2000,13/03/2003
Asia Financial Crash of 1997 ,02/07/1997,13/08/1998
